date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:17:24	53/53	---M--	200	added ('OK')	text/plain	date:Fri,%2007%20Mar%202014%2002:14:43%20GMT	http://www.montere.it/robots.txt		(from )
09:17:27	12834/-1	---M--	200	added ('OK')	text/html	date:Thu,%2027%20Apr%202017%2014:18:05%20GMT	http://www.montere.it/?lang=en	C:/My%20Web%20Sites/Pagina_Chingona/www.montere.it/index9ed2.html	(from )
09:17:30	192294/192294	---M--	200	added ('OK')	text/css	date:Fri,%2009%20Oct%202015%2000:52:25%20GMT	http://www.montere.it/assets/css/style.css	C:/My%20Web%20Sites/Pagina_Chingona/www.montere.it/assets/css/style.css	(from http://www.montere.it/?lang=en)
09:17:33	1150/1150	---M--	200	added ('OK')	image/x-icon	date:Mon,%2020%20Jan%202014%2013:04:23%20GMT	http://www.montere.it/favicon.ico	C:/My%20Web%20Sites/Pagina_Chingona/www.montere.it/favicon.ico	(from http://www.montere.it/?lang=en)
09:17:33	556/556	---M--	200	added ('OK')	image/png	date:Thu,%2013%20Feb%202014%2023:07:26%20GMT	http://www.montere.it/assets/img/ico-check.png	C:/My%20Web%20Sites/Pagina_Chingona/www.montere.it/assets/img/ico-check.png	(from http://www.montere.it/?lang=en)
09:17:34	17116/-1	---M--	200	added ('OK')	text/html	date:Thu,%2027%20Apr%202017%2014:18:12%20GMT	http://www.montere.it/?cat=40&lang=en	C:/My%20Web%20Sites/Pagina_Chingona/www.montere.it/index2202.html	(from http://www.montere.it/?lang=en)
09:17:35	683/683	---M--	200	added ('OK')	image/png	date:Thu,%2013%20Feb%202014%2023:07:27%20GMT	http://www.montere.it/assets/img/ico-map.png	C:/My%20Web%20Sites/Pagina_Chingona/www.montere.it/assets/img/ico-map.png	(from http://www.montere.it/?lang=en)
09:17:36	14202/-1	---M--	200	added ('OK')	text/html	date:Thu,%2027%20Apr%202017%2014:18:14%20GMT	http://www.montere.it/?cat=42&lang=en	C:/My%20Web%20Sites/Pagina_Chingona/www.montere.it/index7ba0.html	(from http://www.montere.it/?lang=en)
09:17:37	757/757	---M--	200	added ('OK')	image/png	date:Thu,%2013%20Feb%202014%2023:07:27%20GMT	http://www.montere.it/assets/img/ico-recipes.png	C:/My%20Web%20Sites/Pagina_Chingona/www.montere.it/assets/img/ico-recipes.png	(from http://www.montere.it/?lang=en)
09:17:38	11264/-1	---M--	200	added ('OK')	text/html	date:Thu,%2027%20Apr%202017%2014:18:16%20GMT	http://www.montere.it/?cat=44&lang=en	C:/My%20Web%20Sites/Pagina_Chingona/www.montere.it/index8386.html	(from http://www.montere.it/?lang=en)
09:17:38	12099/-1	---M--	200	added ('OK')	text/html	date:Thu,%2027%20Apr%202017%2014:18:14%20GMT	http://www.montere.it/?cat=43&lang=en	C:/My%20Web%20Sites/Pagina_Chingona/www.montere.it/index4ca5.html	(from http://www.montere.it/?lang=en)
09:17:39	884/884	---M--	200	added ('OK')	image/png	date:Thu,%2013%20Feb%202014%2023:07:26%20GMT	http://www.montere.it/assets/img/ico-journal.png	C:/My%20Web%20Sites/Pagina_Chingona/www.montere.it/assets/img/ico-journal.png	(from http://www.montere.it/?lang=en)
09:17:41	18093/-1	---M--	200	added ('OK')	text/html	date:Thu,%2027%20Apr%202017%2014:18:18%20GMT	http://www.montere.it/?page_id=5222&lang=en	C:/My%20Web%20Sites/Pagina_Chingona/www.montere.it/index43da.html	(from http://www.montere.it/?lang=en)
09:17:41	712/712	---M--	200	added ('OK')	image/png	date:Thu,%2013%20Feb%202014%2023:07:28%20GMT	http://www.montere.it/assets/img/ico-search.png	C:/My%20Web%20Sites/Pagina_Chingona/www.montere.it/assets/img/ico-search.png	(from http://www.montere.it/?lang=en)
09:17:43	17590/-1	---M--	200	added ('OK')	text/html	date:Thu,%2027%20Apr%202017%2014:18:20%20GMT	http://www.montere.it/?page_id=5229&lang=en	C:/My%20Web%20Sites/Pagina_Chingona/www.montere.it/index787a.html	(from http://www.montere.it/?lang=en)
09:17:43	792/792	---M--	200	added ('OK')	image/png	date:Thu,%2013%20Feb%202014%2023:07:27%20GMT	http://www.montere.it/assets/img/ico-newsletter.png	C:/My%20Web%20Sites/Pagina_Chingona/www.montere.it/assets/img/ico-newsletter.png	(from http://www.montere.it/?lang=en)
09:17:44	11458/-1	---M--	200	added ('OK')	text/html	date:Thu,%2027%20Apr%202017%2014:18:21%20GMT	http://www.montere.it/?page_id=4380&lang=en	C:/My%20Web%20Sites/Pagina_Chingona/www.montere.it/index7597.html	(from http://www.montere.it/?lang=en)
09:17:46	16579/16579	---M--	200	added ('OK')	image/png	date:Tue,%2026%20May%202015%2001:24:33%20GMT	http://www.montere.it/assets/img/logo-montere-100x80.png	C:/My%20Web%20Sites/Pagina_Chingona/www.montere.it/assets/img/logo-montere-100x80.png	(from http://www.montere.it/?lang=en)
09:17:47	18420/-1	---M--	200	added ('OK')	text/html	date:Thu,%2027%20Apr%202017%2014:18:23%20GMT	http://www.montere.it/?cat=39&lang=en	C:/My%20Web%20Sites/Pagina_Chingona/www.montere.it/indexd819.html	(from http://www.montere.it/?lang=en)
09:17:49	21633/-1	---M--	200	added ('OK')	text/html	date:Thu,%2027%20Apr%202017%2014:18:25%20GMT	http://www.montere.it/?page_id=4876&lang=en	C:/My%20Web%20Sites/Pagina_Chingona/www.montere.it/index2c75.html	(from http://www.montere.it/?lang=en)
